"GoldLabel","Premise","Hypothesis","PairID","CZpremise","CZhypothesis"
"neutral","This church choir sings to the masses as they sing joyous songs from the book at a church.","The church has cracks in the ceiling.","2677109430.jpg#1r1n","Tento kostelní sbor zpívá masám, když v kostele zpívají radostné písně z knihy.","Kostel má praskliny ve stropě."
"entailment","This church choir sings to the masses as they sing joyous songs from the book at a church.","The church is filled with song.","2677109430.jpg#1r1e","Tento kostelní sbor zpívá masám, když v kostele zpívají radostné písně z knihy.","Kostel je plný písní."
"contradiction","This church choir sings to the masses as they sing joyous songs from the book at a church.","A choir singing at a baseball game.","2677109430.jpg#1r1c","Tento kostelní sbor zpívá masám, když v kostele zpívají radostné písně z knihy.","Sbor zpívající na baseballovém zápase."
"neutral","A woman with a green headscarf, blue shirt and a very big grin.","The woman is young.","6160193920.jpg#4r1n","Žena se zeleným šátkem na hlavě, modrou košilí a velmi širokým úsměvem.","Ta žena je mladá."
"entailment","A woman with a green headscarf, blue shirt and a very big grin.","The woman is very happy.","6160193920.jpg#4r1e","Žena se zeleným šátkem na hlavě, modrou košilí a velmi širokým úsměvem.","Ta žena je velmi šťastná."
"contradiction","A woman with a green headscarf, blue shirt and a very big grin.","The woman has been shot.","6160193920.jpg#4r1c","Žena se zeleným šátkem na hlavě, modrou košilí a velmi širokým úsměvem.","Ta žena byla postřelena."
"entailment","An old man with a package poses in front of an advertisement.","A man poses in front of an ad.","4791890474.jpg#3r1e","Stařík s balíčkem pózuje před reklamou.","Muž pózuje před reklamou."
"neutral","An old man with a package poses in front of an advertisement.","A man poses in front of an ad for beer.","4791890474.jpg#3r1n","Stařík s balíčkem pózuje před reklamou.","Muž pózuje před reklamou na pivo."
"contradiction","An old man with a package poses in front of an advertisement.","A man walks by an ad.","4791890474.jpg#3r1c","Stařík s balíčkem pózuje před reklamou.","Muž projde kolem inzerátu."
"neutral","A statue at a museum that no seems to be looking at.","The statue is offensive and people are mad that it is on display.","6526219567.jpg#4r1n","Socha v muzeu, na kterou se nikdo nedívá.","Socha je urážlivá a lidé šílí, že je vystavena."
"entailment","A statue at a museum that no seems to be looking at.","There is a statue that not many people seem to be interested in.","6526219567.jpg#4r1e","Socha v muzeu, na kterou se nikdo nedívá.","Je tam socha, o kterou nejeví mnoho lidí zájem."
"contradiction","A statue at a museum that no seems to be looking at.","Tons of people are gathered around the statue.","6526219567.jpg#4r1c","Socha v muzeu, na kterou se nikdo nedívá.","Kolem sochy se shromáždily tuny lidí."
