"GoldLabel","Premise","Hypothesis","PairID","CZpremise","CZhypothesis"
"neutral","Two women are embracing while holding to go packages.","The sisters are hugging goodbye while holding to go packages after just eating lunch.","4705552913.jpg#2r1n","Dvě ženy se objímají a čekají na zásilky.","Sestry se objímají na rozloučenou, zatímco se drží, aby mohly jít balíčky po obědě."
"entailment","Two women are embracing while holding to go packages.","Two woman are holding packages.","4705552913.jpg#2r1e","Dvě ženy se objímají a čekají na zásilky.","Dvě ženy drží balíčky."
"contradiction","Two women are embracing while holding to go packages.","The men are fighting outside a deli.","4705552913.jpg#2r1c","Dvě ženy se objímají a čekají na zásilky.","Muži bojují před lahůdkářstvím."
"entailment","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.","Two kids in numbered jerseys wash their hands.","2407214681.jpg#0r1e","Dvě malé děti v modrých dresech, jedno s číslem 9 a druhé s číslem 2, stojí na dřevěných schodech v koupelně a myjí si ruce v umyvadle.","Dvě děti v očíslovaných dresech si myjí ruce."
"neutral","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.","Two kids at a ballgame wash their hands.","2407214681.jpg#0r1n","Dvě malé děti v modrých dresech, jedno s číslem 9 a druhé s číslem 2, stojí na dřevěných schodech v koupelně a myjí si ruce v umyvadle.","Dvě děti na baseballu si myjí ruce."
"contradiction","Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.","Two kids in jackets walk to school.","2407214681.jpg#0r1c","Dvě malé děti v modrých dresech, jedno s číslem 9 a druhé s číslem 2, stojí na dřevěných schodech v koupelně a myjí si ruce v umyvadle.","Dvě děti v bundách jdou do školy pěšky."
"contradiction","A man selling donuts to a customer during a world exhibition event held in the city of Angeles","A woman drinks her coffee in a small cafe.","4718146904.jpg#2r1c","Muž prodávající koblihy zákazníkovi během světové výstavy pořádané ve městě Angeles","Žena pije kávu v malé kavárně."
"neutral","A man selling donuts to a customer during a world exhibition event held in the city of Angeles","A man selling donuts to a customer during a world exhibition event while people wait in line behind him.","4718146904.jpg#2r1n","Muž prodávající koblihy zákazníkovi během světové výstavy pořádané ve městě Angeles","Muž prodávající koblihy zákazníkovi během světové výstavy, zatímco lidé čekají ve frontě za ním."
"entailment","A man selling donuts to a customer during a world exhibition event held in the city of Angeles","A man selling donuts to a customer.","4718146904.jpg#2r1e","Muž prodávající koblihy zákazníkovi během světové výstavy pořádané ve městě Angeles","Muž, který prodává zákazníkovi koblihy."
"entailment","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.","boys play football","3980085662.jpg#0r1e","Dva mladí chlapci z opačných týmů hrají fotbal a mají na sobě ochranné uniformy a helmy.","chlapci hrají fotbal"
"contradiction","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.","dog eats out of bowl","3980085662.jpg#0r1c","Dva mladí chlapci z opačných týmů hrají fotbal a mají na sobě ochranné uniformy a helmy.","pes jí z misky"
"neutral","Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.","boys scoring a touchdown","3980085662.jpg#0r1n","Dva mladí chlapci z opačných týmů hrají fotbal a mají na sobě ochranné uniformy a helmy.","hoši skórují touchdown"
"neutral","A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.","A man is repainting a garage","24467676.jpg#1r1n","Muž v modré košili stojící před garážovou konstrukcí pomalovanou geometrickými vzory.","Muž přemalovává garáž"
